source_file,year,election_type,prm_party,juris,state,office,dist,election_id
Minneapolis_20091106_Ward11CityCouncil,2009,general,NA,Minneapolis,MN,City Council,11,MN_2009_G_Minneapolis_11_Council
Minneapolis_20091106_Ward12CityCouncil,2009,general,NA,Minneapolis,MN,City Council,12,MN_2009_G_Minneapolis_12_Council
Minneapolis_20091106_Ward13CityCouncil,2009,general,NA,Minneapolis,MN,City Council,13,MN_2009_G_Minneapolis_13_Council
Minneapolis_20091106_Ward1CityCouncil,2009,general,NA,Minneapolis,MN,City Council,1,MN_2009_G_Minneapolis_01_Council
Minneapolis_20091106_Ward2CityCouncil,2009,general,NA,Minneapolis,MN,City Council,2,MN_2009_G_Minneapolis_02_Council
Minneapolis_20091106_Ward3CityCouncil,2009,general,NA,Minneapolis,MN,City Council,3,MN_2009_G_Minneapolis_03_Council
Minneapolis_20091106_Ward4CityCouncil,2009,general,NA,Minneapolis,MN,City Council,4,MN_2009_G_Minneapolis_04_Council
Minneapolis_20091106_Ward5CityCouncil,2009,general,NA,Minneapolis,MN,City Council,5,MN_2009_G_Minneapolis_05_Council
Minneapolis_20091106_Ward6CityCouncil,2009,general,NA,Minneapolis,MN,City Council,6,MN_2009_G_Minneapolis_06_Council
Minneapolis_20091106_Ward7CityCouncil,2009,general,NA,Minneapolis,MN,City Council,7,MN_2009_G_Minneapolis_07_Council
Minneapolis_20091106_Ward8CityCouncil,2009,general,NA,Minneapolis,MN,City Council,8,MN_2009_G_Minneapolis_08_Council
Minneapolis_20091106_Ward9CityCouncil,2009,general,NA,Minneapolis,MN,City Council,9,MN_2009_G_Minneapolis_09_Council
Minneapolis_20131105_CityCouncilWard13,2013,general,NA,Minneapolis,MN,City Council,13,MN_2013_G_Minneapolis_13_Council
Minneapolis_20131105_CityCouncilWard5,2013,general,NA,Minneapolis,MN,City Council,5,MN_2013_G_Minneapolis_05_Council
Minneapolis_20131105_CityCouncilWard9,2013,general,NA,Minneapolis,MN,City Council,9,MN_2013_G_Minneapolis_09_Council
Minneapolis_20131105_Mayor,2013,general,NA,Minneapolis,MN,Mayor,At_Large,MN_2013_G_Minneapolis_At_Large_Mayor
Minneapolis_20131105_ParksBoardD2,2013,general,NA,Minneapolis,MN,Park Board,2,MN_2013_G_Minneapolis_02_ParkBoard
Minneapolis_20131105_ParksBoardD6,2013,general,NA,Minneapolis,MN,Park Board,6,MN_2013_G_Minneapolis_06_ParkBoard
Minneapolis_20171107_CityCouncilWard10,2017,general,NA,Minneapolis,MN,City Council,10,MN_2017_G_Minneapolis_10_Council
Minneapolis_20171107_CityCouncilWard11,2017,general,NA,Minneapolis,MN,City Council,11,MN_2017_G_Minneapolis_11_Council
Minneapolis_20171107_CityCouncilWard12,2017,general,NA,Minneapolis,MN,City Council,12,MN_2017_G_Minneapolis_12_Council
Minneapolis_20171107_CityCouncilWard13,2017,general,NA,Minneapolis,MN,City Council,13,MN_2017_G_Minneapolis_13_Council
Minneapolis_20171107_CityCouncilWard1,2017,general,NA,Minneapolis,MN,City Council,1,MN_2017_G_Minneapolis_01_Council
Minneapolis_20171107_CityCouncilWard2,2017,general,NA,Minneapolis,MN,City Council,2,MN_2017_G_Minneapolis_02_Council
Minneapolis_20171107_CityCouncilWard3,2017,general,NA,Minneapolis,MN,City Council,3,MN_2017_G_Minneapolis_03_Council
Minneapolis_20171107_CityCouncilWard4,2017,general,NA,Minneapolis,MN,City Council,4,MN_2017_G_Minneapolis_04_Council
Minneapolis_20171107_CityCouncilWard5,2017,general,NA,Minneapolis,MN,City Council,5,MN_2017_G_Minneapolis_05_Council
Minneapolis_20171107_CityCouncilWard6,2017,general,NA,Minneapolis,MN,City Council,6,MN_2017_G_Minneapolis_06_Council
Minneapolis_20171107_CityCouncilWard7,2017,general,NA,Minneapolis,MN,City Council,7,MN_2017_G_Minneapolis_07_Council
Minneapolis_20171107_CityCouncilWard8,2017,general,NA,Minneapolis,MN,City Council,8,MN_2017_G_Minneapolis_08_Council
Minneapolis_20171107_CityCouncilWard9,2017,general,NA,Minneapolis,MN,City Council,9,MN_2017_G_Minneapolis_09_Council
